,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
17803,56886,Big Sandy Peaker Plant LLC,55284,Big Sandy Peaker Plant,WV,Wayne,BSG3,GT,OP,57.0,50.0,57.0,,7,2001,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Appalachian Power Co,22,38.3441,-82.5938
17804,56886,Big Sandy Peaker Plant LLC,55284,Big Sandy Peaker Plant,WV,Wayne,BSG4,GT,OP,57.0,50.0,57.0,,7,2001,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Appalachian Power Co,22,38.3441,-82.5938
17805,56886,Big Sandy Peaker Plant LLC,55284,Big Sandy Peaker Plant,WV,Wayne,BSG5,GT,OP,57.0,50.0,57.0,,7,2001,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Appalachian Power Co,22,38.3441,-82.5938
17806,56886,Big Sandy Peaker Plant LLC,55284,Big Sandy Peaker Plant,WV,Wayne,BSG6,GT,OP,57.0,50.0,57.0,,8,2001,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Appalachian Power Co,22,38.3441,-82.5938
17834,56905,Algonquin Power Sanger LLC,57564,Algonquin Power Sanger LLC,CA,Fresno,CTG,CT,OP,49.0,49.0,49.0,,12,2007,NG,,,,,,N,Y,,S,,Y,IPP CHP,3,T,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,22,36.6842,-119.5522
17835,56905,Algonquin Power Sanger LLC,57564,Algonquin Power Sanger LLC,CA,Fresno,STG2,CA,OP,12.5,12.5,12.5,,5,2012,NG,,,,,,N,Y,,S,,Y,IPP CHP,3,T,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,22,36.6842,-119.5522
17837,56914,Central Contra Costa Sanitary District,57573,CCCSD Wastewater Treatment Plnt,CA,Contra Costa,S188,GT,OP,3.5,3.0,3.5,,12,1995,NG,,,,,,N,N,,S,1.0,Y,Commercial CHP,5,T,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,22132,37.9978,-122.0697
17840,56917,DST Output,57580,DST Cogen,CA,El Dorado,CG1,IC,OP,2.1,2.1,2.1,,5,2008,NG,,,,,,N,N,,S,,Y,IPP CHP,3,T,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,22,38.6183,-121.0564
17841,56917,DST Output,57580,DST Cogen,CA,El Dorado,CG2,IC,OP,2.1,2.1,2.1,,5,2008,NG,,,,,,N,N,,S,,Y,IPP CHP,3,T,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,22,38.6183,-121.0564
17842,56918,University of California San Diego,57584,University of California San Diego,CA,San Diego,NT2,CT,OP,15.0,13.5,13.5,,7,2001,NG,,,,,,N,N,,S,,N,Commercial Non-CHP,4,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Diego Gas & Electric Co,611,32.8747,-117.2392
17843,56918,University of California San Diego,57584,University of California San Diego,CA,San Diego,ST1,CT,OP,15.0,13.5,13.5,,7,2001,NG,,,,,,N,N,,S,,N,Commercial Non-CHP,4,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Diego Gas & Electric Co,611,32.8747,-117.2392
