,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
12226,19545,Black Hills Power Inc,4151,Osage,WY,Weston,1,ST,SB,11.5,10.1,10.1,,1,1948,SUB,,,,,,N,Y,Y,S,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,,,,3.0,2014.0,N,N,N,Y,,,,SUB,,,,Black Hills Power Inc,22,43.9703,-104.4106
12227,19545,Black Hills Power Inc,4151,Osage,WY,Weston,2,ST,SB,11.5,10.1,10.1,,1,1950,SUB,,,,,,N,Y,Y,S,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,,,,3.0,2014.0,N,N,N,Y,,,,SUB,,,,Black Hills Power Inc,22,43.9703,-104.4106
12228,19545,Black Hills Power Inc,4151,Osage,WY,Weston,3,ST,SB,11.5,10.1,10.1,,1,1952,SUB,,,,,,N,Y,Y,S,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,,,,3.0,2014.0,N,N,N,Y,,,,SUB,,,,Black Hills Power Inc,22,43.9703,-104.4106
12229,19545,Black Hills Power Inc,7504,Neil Simpson II,WY,Campbell,2,ST,OP,80.0,80.0,80.0,,9,1995,SUB,DFO,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,,Black Hills Power Inc,22,44.2856,-105.3833
12233,19545,Black Hills Power Inc,55479,Wygen 1,WY,CAMPBELL,0001,ST,OP,88.0,70.0,90.0,,1,2003,SUB,NG,,,,,N,Y,,J,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,Y,,N,,,,NG,,,,Black Hills Power Inc,22,44.2858,-105.3833
12234,19545,Black Hills Power Inc,56319,Wygen 2,WY,Campbell,0001,ST,OP,95.0,85.0,95.0,,1,2008,SUB,NG,,,,,N,N,,W,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,NG,,,,Black Hills Power Inc,22,44.2919,-105.3811
12235,19545,Black Hills Power Inc,56596,Wygen III,WY,CAMPBELL,5,ST,OP,116.2,100.0,100.0,,4,2010,SUB,NG,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,Y,,N,,,,,,,,Black Hills Power Inc,22,44.2919,-105.3806
12568,19883,City of Virginia,2018,Virginia,MN,St Louis,1A,ST,OS,4.0,4.0,4.0,,8,1992,SUB,WDS,NG,,,,N,Y,,S,,Y,Electric Utility,1,T,N,N,,,,,,,,,,,,,,,,,,N,,,Y,,,,,,,,City of Virginia,22,47.522428000000005,-92.540951
12569,19883,City of Virginia,2018,Virginia,MN,St Louis,5,ST,OP,7.5,8.0,8.0,,8,1954,SUB,WDS,NG,,,,N,Y,,S,,Y,Electric Utility,1,T,N,N,,,,,,,,,,,,,,,,,,N,,,Y,,,,,,,,City of Virginia,22,47.522428000000005,-92.540951
12570,19883,City of Virginia,2018,Virginia,MN,St Louis,6,ST,OP,18.7,17.0,18.7,,8,1971,SUB,WDS,NG,,,,N,Y,,S,,Y,Electric Utility,1,T,N,N,,,,,,,,,,,,,,,,,,N,,,Y,,,,,,,,City of Virginia,22,47.522428000000005,-92.540951
