,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
13305,22199,U S Air Force-Eielson AFB,50392,Eielson AFB Central Heat & Power Plant,AK,Fairbanks North Star,TG5,ST,OP,10.0,9.0,9.5,,10,1987,SUB,,,,,,N,Y,,S,,Y,Commercial CHP,5,T,N,N,,,,,,,,,,,,,,,,,,N,N,,Y,,,Y,,,,,Golden Valley Elec Assn Inc,928,64.67141,-147.075988
13359,22500,Westar Energy Inc,1250,Lawrence Energy Center,KS,Douglas,3,ST,OP,49.0,51.0,51.0,,1,1955,SUB,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,,,,,Westar Energy Inc,22,39.0072,-95.26916700000001
13360,22500,Westar Energy Inc,1250,Lawrence Energy Center,KS,Douglas,4,ST,OP,114.0,109.0,109.0,,3,1960,SUB,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,,,,,Westar Energy Inc,22,39.0072,-95.26916700000001
13361,22500,Westar Energy Inc,1250,Lawrence Energy Center,KS,Douglas,5,ST,OP,403.0,371.0,371.0,,5,1971,SUB,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,,,,,Westar Energy Inc,22,39.0072,-95.26916700000001
13362,22500,Westar Energy Inc,1252,Tecumseh Energy Center,KS,Shawnee,7,ST,OP,82.0,73.0,73.0,,8,1957,SUB,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,,,,,Westar Energy Inc,22,39.0539,-95.568889
13363,22500,Westar Energy Inc,1252,Tecumseh Energy Center,KS,Shawnee,8,ST,OP,150.0,132.0,132.0,,4,1962,SUB,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,,,,,Westar Energy Inc,22,39.0539,-95.568889
13364,22500,Westar Energy Inc,6068,Jeffrey Energy Center,KS,Pottawatomie,1,ST,OP,720.0,724.0,724.0,,7,1978,SUB,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,Westar Energy Inc,22,39.286453,-96.117231
13365,22500,Westar Energy Inc,6068,Jeffrey Energy Center,KS,Pottawatomie,2,ST,OP,720.0,725.0,725.0,,5,1980,SUB,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,Westar Energy Inc,22,39.286453,-96.117231
13366,22500,Westar Energy Inc,6068,Jeffrey Energy Center,KS,Pottawatomie,3,ST,OP,720.0,730.0,730.0,,5,1983,SUB,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,Westar Energy Inc,22,39.286453,-96.117231
13499,24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,AZ,Pima,4,ST,OP,173.3,156.0,156.0,,7,1967,SUB,NG,LFG,BIT,,,Y,Y,,W,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,Y,7.0,2014.0,,,N,Y,,,,,,NG,,,,Tucson Electric Power Co,22,32.16,-110.9047
13509,24211,Tucson Electric Power Co,8223,Springerville,AZ,Apache,1,ST,OP,424.8,387.0,387.0,,6,1985,SUB,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,,Tucson Electric Power Co,22,34.3186,-109.1639
13510,24211,Tucson Electric Power Co,8223,Springerville,AZ,Apache,2,ST,OP,424.8,390.0,390.0,,6,1990,SUB,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,,Tucson Electric Power Co,22,34.3186,-109.1639
