,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
7753,13756,Northern Indiana Pub Serv Co,995,Bailly,IN,Porter,8,ST,OP,413.1,320.0,320.0,,7,1968,BIT,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,,,,Y,,,NG,,,,Northern Indiana Pub Serv Co,22,41.645,-87.1225
7767,13756,Northern Indiana Pub Serv Co,6085,R M Schahfer,IN,Jasper,17,ST,OP,423.5,361.0,361.0,,4,1983,BIT,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,,Northern Indiana Pub Serv Co,22,41.2164,-87.0261
7768,13756,Northern Indiana Pub Serv Co,6085,R M Schahfer,IN,Jasper,18,ST,OP,423.5,361.0,361.0,,2,1986,BIT,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,,Northern Indiana Pub Serv Co,22,41.2164,-87.0261
8090,14006,Ohio Power Co,2840,Conesville,OH,Coshocton,4,ST,OP,841.5,780.0,780.0,,6,1973,BIT,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,N,Y,,,DFO,,,,Columbus Southern Power Co,22,40.1842,-81.8811
8091,14006,Ohio Power Co,2840,Conesville,OH,Coshocton,5,ST,OP,443.9,375.0,375.0,,11,1976,BIT,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,N,,,DFO,,,,Columbus Southern Power Co,22,40.1842,-81.8811
8092,14006,Ohio Power Co,2840,Conesville,OH,Coshocton,6,ST,OP,443.9,375.0,375.0,,6,1978,BIT,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,Columbus Southern Power Co,22,40.1842,-81.8811
8093,14006,Ohio Power Co,2843,Picway,OH,Pickaway,5,ST,OP,106.2,95.0,100.0,,11,1955,BIT,,,,,,N,Y,,S,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,,,,12.0,2014.0,N,Y,,Y,,,,DFO,,,,Columbus Southern Power Co,22,39.7933,-83.0097
8094,14006,Ohio Power Co,2872,Muskingum River,OH,Washington,1,ST,OP,219.6,190.0,205.0,,12,1953,BIT,DFO,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,12.0,2014.0,N,Y,,Y,,,,DFO,,,,Ohio Power Co,22,39.5908,-81.6797
8095,14006,Ohio Power Co,2872,Muskingum River,OH,Washington,2,ST,OP,219.6,190.0,205.0,,6,1954,BIT,DFO,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,12.0,2014.0,N,Y,,Y,,,,DFO,,,,Ohio Power Co,22,39.5908,-81.6797
8096,14006,Ohio Power Co,2872,Muskingum River,OH,Washington,3,ST,OP,237.5,205.0,215.0,,12,1957,BIT,DFO,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,12.0,2014.0,N,N,,Y,,,,DFO,,,,Ohio Power Co,22,39.5908,-81.6797
8097,14006,Ohio Power Co,2872,Muskingum River,OH,Washington,4,ST,OP,237.5,205.0,215.0,,5,1958,BIT,DFO,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,12.0,2014.0,N,,,Y,,,,DFO,,,,Ohio Power Co,22,39.5908,-81.6797
8098,14006,Ohio Power Co,2872,Muskingum River,OH,Washington,5,ST,OP,615.2,585.0,585.0,,10,1968,BIT,DFO,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,12.0,2014.0,N,Y,,,Y,,,DFO,,,,Ohio Power Co,22,39.5908,-81.6797
8099,14006,Ohio Power Co,3947,Kammer,WV,Marshall,1,ST,OP,237.5,200.0,210.0,,7,1958,BIT,SUB,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,12.0,2014.0,N,,,Y,,,,DFO,,,,Ohio Power Co,22,39.8461,-80.8186
8100,14006,Ohio Power Co,3947,Kammer,WV,Marshall,2,ST,OP,237.5,200.0,210.0,,11,1958,BIT,SUB,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,12.0,2014.0,N,,,Y,,,,DFO,,,,Ohio Power Co,22,39.8461,-80.8186
8101,14006,Ohio Power Co,3947,Kammer,WV,Marshall,3,ST,OP,237.5,200.0,210.0,,3,1959,BIT,SUB,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,12.0,2014.0,N,,,Y,,,,DFO,,,,Ohio Power Co,22,39.8461,-80.8186
8102,14006,Ohio Power Co,3948,Mitchell,WV,Marshall,1,ST,OP,816.3,770.0,770.0,,5,1971,BIT,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,Ohio Power Co,22,39.8297,-80.8153
8103,14006,Ohio Power Co,3948,Mitchell,WV,Marshall,2,ST,OP,816.3,790.0,790.0,,5,1971,BIT,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,Ohio Power Co,22,39.8297,-80.8153
8106,14006,Ohio Power Co,8102,General James M Gavin,OH,Gallia,1,ST,OP,"1,300.0","1,299.0","1,299.0",,10,1974,BIT,SUB,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,,,,Y,,,DFO,,,,Ohio Power Co,22,38.9347,-82.1158
8107,14006,Ohio Power Co,8102,General James M Gavin,OH,Gallia,2,ST,OP,"1,300.0","1,299.0","1,299.0",,7,1975,BIT,SUB,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,,,,Y,,,DFO,,,,Ohio Power Co,22,38.9347,-82.1158
