,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
17962,57009,Blue Chip Energy LLC,57685,Rinehart,FL,Seminole,1,PV,OP,10.0,10.0,10.0,,6,2011,SUN,,,,,,N,N,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Progress Energy Florida Inc,22,28.770601,-81.353336
17963,57011,"CS Murphy Point, LLC",57687,"CS Murphy Point, LLC",NC,Cherokee,1,PV,OP,1.0,0.9,0.9,,8,2011,SUN,,,,,,N,Y,,S,4.0,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Blue Ridge Elec Member Corp,22,34.989539,-84.166197
17967,57017,DOE National Renewable Energy Laboratory,57692,DOE Golden NWTC Load Side,CO,Jefferson,SEPV,PV,OP,1.0,1.1,1.1,,10,2009,SUN,,,,,,N,Y,,W,1.0,N,Commercial Non-CHP,4,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Xcel Energy Inc,541,39.909,-105.2318
17972,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,CO,Jefferson,MESA,PV,OP,0.7,0.7,0.7,,12,2008,SUN,,,,,,N,Y,,W,1.0,N,Commercial Non-CHP,4,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Xcel Energy Inc,541,39.740896,-105.170993
17973,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,CO,Jefferson,PARKL,PV,OP,0.5,0.5,0.5,,9,2011,SUN,,,,,,N,N,,S,1.0,N,Commercial Non-CHP,4,,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Xcel Energy Inc,541,39.740896,-105.170993
17974,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,CO,Jefferson,RSF1,PV,OP,0.5,0.5,0.5,,12,2010,SUN,,,,,,N,Y,,W,1.0,N,Commercial Non-CHP,4,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Xcel Energy Inc,541,39.740896,-105.170993
17975,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,CO,Jefferson,RSF2,PV,OP,0.4,0.4,0.4,,2,2012,SUN,,,,,,N,Y,,S,1.0,N,Commercial Non-CHP,4,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Xcel Energy Inc,541,39.740896,-105.170993
17976,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,CO,Jefferson,STF,PV,OP,0.1,0.1,0.1,,6,2009,SUN,,,,,,N,Y,,W,1.0,N,Commercial Non-CHP,4,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Xcel Energy Inc,541,39.740896,-105.170993
17979,57021,FRV AE Solar LLC,57699,Webberville Solar Project,TX,Travis,AES1,PV,OP,30.0,30.0,30.0,,12,2011,SUN,,,,,,N,Y,,S,19.0,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Austin Energy,22,30.238491999999997,-97.508812
17980,57022,Solar Power Inc.,57697,Aerojet I,CA,Sacramento,1,PV,OP,3.0,3.0,3.0,,12,2009,SUN,,,,,,N,Y,,W,6.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Aerojet,22,38.613508,-121.162879
17981,57022,Solar Power Inc.,57698,Aerojet II,CA,Sacramento,1,PV,OP,2.7,2.7,2.7,,6,2010,SUN,,,,,,N,Y,,W,5.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Aerojet,22,38.6086,-121.1703
17982,57022,Solar Power Inc.,57722,North Palm Springs 4A,CA,Riverside,1,PV,OP,4.0,4.0,4.0,,10,2012,SUN,,,,,,N,Y,,W,8.0,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Southern California Edison Co,22,33.909721999999995,-116.5625
17983,57022,Solar Power Inc.,57743,North Palm Springs 1A,CA,Riverside,1,PV,OP,2.5,2.4,2.4,,4,2012,SUN,,,,,,N,Y,,W,5.0,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Southern California Edison Co,22,33.924167,-116.593333
