,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
3610,6027,Entergy Nuclear Indian Point 2,2497,Indian Point 2,NY,Westchester,2,ST,OP,"1,299.0","1,020.4","1,031.3",,8,1973,NUC,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Consolidated Edison Co-NY Inc,22,41.270556,-73.9527
3611,6028,Entergy Nuclear Indian Point 3,8907,Indian Point 3,NY,West Chester,3,ST,OP,"1,012.0","1,040.5","1,044.3",,8,1976,NUC,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Consolidated Edison Co-NY Inc,22,41.2706,-73.9526
3903,6452,Florida Power & Light Co,621,Turkey Point,FL,Miami-Dade,3,ST,OP,877.2,802.0,826.0,,12,1972,NUC,,,,,,N,Y,Y,S,,N,Electric Utility,1,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Florida Power & Light Co,22,25.4356,-80.3308
3904,6452,Florida Power & Light Co,621,Turkey Point,FL,Miami-Dade,4,ST,OP,877.2,693.0,717.0,,9,1973,NUC,,,,,,N,Y,Y,S,,N,Electric Utility,1,,N,Y,109.0,109.0,3.0,2013.0,,,,,,,,,,,,,,N,,,,,,,,,,,Florida Power & Light Co,22,25.4356,-80.3308
3937,6452,Florida Power & Light Co,6045,St Lucie,FL,St Lucie,1,ST,OP,"1,080.0",981.0,"1,003.0",,5,1976,NUC,,,,,,N,Y,Y,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Florida Power & Light Co,22,27.348611,-80.24638900000001
3938,6452,Florida Power & Light Co,6045,St Lucie,FL,St Lucie,2,ST,OP,"1,080.0",839.0,853.0,,6,1983,NUC,,,,,,N,Y,Y,J,,N,Electric Utility,1,,N,Y,148.0,157.0,4.0,2013.0,,,,,,,,,,,,,,N,,,,,,,,,,,Florida Power & Light Co,22,27.348611,-80.24638900000001
3967,6455,"Duke Energy Florida, Inc",628,Crystal River,FL,Citrus,3,ST,OS,890.4,860.0,877.0,,3,1977,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,3.0,2013.0,N,,,,,,,,,,,Progress Energy Florida Inc,22,28.9656,-82.6977
4235,6854,NextEra Energy Seabrook LLC,6115,Seabrook,NH,Rockingham,1,ST,OP,"1,242.0","1,246.2","1,246.7",,8,1990,NUC,,,,,,N,Y,,J,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Public Service Co of NH,22,42.899167,-70.848889
4350,7140,Georgia Power Co,649,Vogtle,GA,Burke,1,ST,OP,"1,160.0","1,150.0","1,150.0",,5,1987,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Georgia Power Co,22,33.1427,-81.7625
4351,7140,Georgia Power Co,649,Vogtle,GA,Burke,2,ST,OP,"1,160.0","1,152.0","1,152.0",,5,1989,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Georgia Power Co,22,33.1427,-81.7625
